Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:43:41.792,5.476,1.525,1.525,-0.002,,
2019-04-03 11:43:41.805,5.489,1.525,1.525,-0.002,,
2019-04-03 11:43:41.820,5.504,1.525,1.525,-0.002,,
2019-04-03 11:43:41.835,5.519,1.525,1.525,-0.002,,
2019-04-03 11:43:41.850,5.534,1.877,1.877,-0.002,,
2019-04-03 11:43:41.865,5.549,1.877,1.877,-0.002,,
2019-04-03 11:43:41.879,5.563,1.877,1.877,-0.002,,
2019-04-03 11:43:41.894,5.578,1.877,1.877,-0.002,,
2019-04-03 11:43:41.909,5.593,2.226,2.226,-0.002,,
2019-04-03 11:43:41.924,5.608,2.226,2.226,-0.002,,
2019-04-03 11:43:41.938,5.622,2.226,2.226,-0.002,,
2019-04-03 11:43:41.953,5.637,2.226,2.226,-0.002,,
2019-04-03 11:43:41.968,5.652,1.293,2.226,-0.002,,
2019-04-03 11:43:41.983,5.667,1.293,2.226,-0.002,,
2019-04-03 11:43:41.997,5.681,1.293,2.226,-0.002,,
2019-04-03 11:43:42.012,5.696,1.293,2.226,-0.002,,
2019-04-03 11:43:42.027,5.711,1.370,2.226,-0.002,,
